InChIKey,BRYU005: Height
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,100000
AKEUNCKRJATALU-UHFFFAOYSA-N,15000
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,100000
AQTYXAPIHMXAAV-UHFFFAOYSA-N,250000
AYFVYJQAPQTCCC-UHFFFAOYSA-N,200000
BTJIUGUIPKRLHP-UHFFFAOYSA-N,150000
BXFFHSIDQOFMLE-UHFFFAOYSA-N,15000
BYXCFUMGEBZDDI-UHFFFAOYSA-N,100000
CBQJSKKFNMDLON-UHFFFAOYSA-N,15000
CCVYRRGZDBSHFU-UHFFFAOYSA-N,100000
CGFRVKXGZRODPA-UHFFFAOYSA-N,250000
COLNVLDHVKWLRT-UHFFFAOYSA-N,200000
CZMRCDWAGMRECN-UGDNZRGBSA-N,150000
CZWCKYRVOZZJNM-USOAJAOKSA-N,15000
DCICDMMXFIELDF-UHFFFAOYSA-N,100000
DCXYFEDJOCDNAF-REOHCLBHSA-N,15000
DDRJAANPRJIHGJ-UHFFFAOYSA-N,100000
DRTQHJPVMGBUCF-XVFCMESISA-N,250000
DTERQYGMUDWYAZ-ZETCQYMHSA-N,200000
DUUGKQCEGZLZNO-UHFFFAOYSA-N,150000
FDGQSTZJBFJUBT-UHFFFAOYSA-N,15000
FJKROLUGYXJWQN-UHFFFAOYSA-N,100000
GHOKWGTUZJEAQD-UHFFFAOYSA-N,15000
HCZHHEIFKROPDY-UHFFFAOYSA-N,100000
HEBKCHPVOIAQTA-QWWZWVQMSA-N,250000
HNDVDQJCIGZPNO-YFKPBYRVSA-N,200000
HNEGQIOMVPPMNR-IHWYPQMZSA-N,150000
IGMNYECMUMZDDF-UHFFFAOYSA-N,15000
ILGMGHZPXRDCCS-UHFFFAOYSA-N,100000
JDHILDINMRGULE-UHFFFAOYSA-N,15000
JFCQEDHGNNZCLN-UHFFFAOYSA-N,100000
JFLIEFSWGNOPJJ-JTQLQIEISA-N,250000
JVGVDSSUAVXRDY-UHFFFAOYSA-N,200000
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,150000
KBOJOGQFRVVWBH-ZETCQYMHSA-N,15000
KDYFGRWQOYBRFD-UHFFFAOYSA-N,100000
KSPQDMRTZZYQLM-UHFFFAOYSA-N,15000
KTHDTJVBEPMMGL-UHFFFAOYSA-N,100000
LOIYMIARKYCTBW-OWOJBTEDSA-N,250000
LXVSANCQXSSLPA-UHFFFAOYSA-N,200000
MTCFGRXMJLQNBG-UHFFFAOYSA-N,150000
MYYIAHXIVFADCU-QMMMGPOBSA-N,15000
NBIIXXVUZAFLBC-UHFFFAOYSA-N,100000
NIDVTARKFBZMOT-PEBGCTIMSA-N,15000
NOFNCLGCUJJPKU-UHFFFAOYSA-N,100000
NWGZOALPWZDXNG-UHFFFAOYSA-N,250000
ONPXCLZMBSJLSP-CSMHCCOUSA-N,200000
PMOWTIHVNWZYFI-AATRIKPKSA-N,150000
POJWUDADGALRAB-UHFFFAOYSA-N,15000
PTJWIQPHWPFNBW-GBNDHIKLSA-N,100000
PXQPEWDEAKTCGB-UHFFFAOYSA-N,15000
PYUSHNKNPOHWEZ-YFKPBYRVSA-N,100000
QFDRTQONISXGJA-UHFFFAOYSA-N,250000
QIVBCDIJIAJPQS-UHFFFAOYSA-N,200000
QVWAEZJXDYOKEH-UHFFFAOYSA-N,150000
RFCQJGFZUQFYRF-UHFFFAOYSA-N,15000
RSPURTUNRHNVGF-IOSLPCCCSA-N,100000
RWSXRVCMGQZWBV-UHFFFAOYSA-N,15000
SQVRNKJHWKZAKO-LUWBGTNYSA-N,100000
SXUXMRMBWZCMEN-ZOQUXTDFSA-N,250000
TYFQFVWCELRYAO-UHFFFAOYSA-N,200000
UTAIYTHAJQNQDW-KQYNXXCUSA-N,150000
UZTFMUBKZQVKLK-UHFFFAOYSA-N,15000
VBUYCZFBVCCYFD-NUNKFHFFSA-N,100000
VVHOUVWJCQOYGG-UHFFFAOYSA-N,250000
VZCYOOQTPOCHFL-UPHRSURJSA-N,200000
WGNAKZGUSRVWRH-UHFFFAOYSA-N,150000
WHUUTDBJXJRKMK-UHFFFAOYSA-N,15000
WLJVNTCWHIRURA-UHFFFAOYSA-N,100000
WNLRTRBMVRJNCN-UHFFFAOYSA-N,15000
WRUSVQOKJIDBLP-HWKANZROSA-N,100000
WXNXCEHXYPACJF-UHFFFAOYSA-N,250000
WXTMDXOMEHJXQO-UHFFFAOYSA-N,200000
XGILAAMKEQUXLS-UHFFFAOYSA-N,150000
XLBVNMSMFQMKEY-BYPYZUCNSA-N,15000
XOAAWQZATWQOTB-UHFFFAOYSA-N,200000
XUYPXLNMDZIRQH-UHFFFAOYSA-N,150000
YGSDEFSMJLZEOE-UHFFFAOYSA-N,15000
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,200000
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,150000
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,15000
