Filename,Name from collaborator,Sample Name,Species,Matrix,Growth-Harvest Conditions,Treatment,Project ID
BRYU005_Pos_SA0012_QE2_HILIC_010,SA0012,BRYU005_SA0012,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 1,SAAC2-wSugarMix,BRYU005
BRYU005_Neg_SA0012_QE2_HILIC_011,SA0012,BRYU005_SA0012,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 1,SAAC2-wSugarMix,BRYU005
BRYU005_Pos_SA0002_QE2_HILIC_012,SA0002,BRYU005_SA0002,None,CleanMedia,Clean media 2 BHI-wVk-wHemin-wMucin passage 0 replicate 1,BHI-wVk-wHemin-wMucin,BRYU005
BRYU005_Neg_SA0002_QE2_HILIC_013,SA0002,BRYU005_SA0002,None,CleanMedia,Clean media 2 BHI-wVk-wHemin-wMucin passage 0 replicate 1,BHI-wVk-wHemin-wMucin,BRYU005
BRYU005_Pos_SA0019_QE2_HILIC_014,SA0019,BRYU005_SA0019,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Neg_SA0019_QE2_HILIC_015,SA0019,BRYU005_SA0019,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Pos_SA0067_QE2_HILIC_016,SA0067,BRYU005_SA0067,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Neg_SA0067_QE2_HILIC_017,SA0067,BRYU005_SA0067,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Pos_SA0070_QE2_HILIC_018,SA0070,BRYU005_SA0070,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0070_QE2_HILIC_019,SA0070,BRYU005_SA0070,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0064_QE2_HILIC_020,SA0064,BRYU005_SA0064,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 3,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Neg_SA0064_QE2_HILIC_021,SA0064,BRYU005_SA0064,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 3,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Pos_SA0066_QE2_HILIC_022,SA0066,BRYU005_SA0066,None,CleanMedia,Clean media 18 SAAC2-noAA-wMucin passage 0 replicate 3,SAAC2-noAA-wMucin,BRYU005
BRYU005_Neg_SA0066_QE2_HILIC_023,SA0066,BRYU005_SA0066,None,CleanMedia,Clean media 18 SAAC2-noAA-wMucin passage 0 replicate 3,SAAC2-noAA-wMucin,BRYU005
BRYU005_Pos_SA0054_QE2_HILIC_024,SA0054,BRYU005_SA0054,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 3,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Neg_SA0054_QE2_HILIC_025,SA0054,BRYU005_SA0054,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 3,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Pos_SA0062_QE2_HILIC_026,SA0062,BRYU005_SA0062,None,CleanMedia,Clean media 14 SAAC2-wSugarMix-noAA passage 0 replicate 3,SAAC2-wSugarMix-noAA,BRYU005
BRYU005_Neg_SA0062_QE2_HILIC_027,SA0062,BRYU005_SA0062,None,CleanMedia,Clean media 14 SAAC2-wSugarMix-noAA passage 0 replicate 3,SAAC2-wSugarMix-noAA,BRYU005
BRYU005_Pos_SA0003_QE2_HILIC_028,SA0003,BRYU005_SA0003,None,CleanMedia,Clean media 3 YCFAC passage 0 replicate 1,YCFAC,BRYU005
BRYU005_Neg_SA0003_QE2_HILIC_029,SA0003,BRYU005_SA0003,None,CleanMedia,Clean media 3 YCFAC passage 0 replicate 1,YCFAC,BRYU005
BRYU005_Pos_SA0015_QE2_HILIC_034,SA0015,BRYU005_SA0015,None,CleanMedia,Clean media 15 SAAC2-wSugarMix-noAAA passage 0 replicate 1,SAAC2-wSugarMix-noAAA,BRYU005
BRYU005_Neg_SA0015_QE2_HILIC_035,SA0015,BRYU005_SA0015,None,CleanMedia,Clean media 15 SAAC2-wSugarMix-noAAA passage 0 replicate 1,SAAC2-wSugarMix-noAAA,BRYU005
BRYU005_Pos_SA0041_QE2_HILIC_036,SA0041,BRYU005_SA0041,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 2,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Neg_SA0041_QE2_HILIC_037,SA0041,BRYU005_SA0041,None,CleanMedia,Clean media 17 SAAC2-noAA-wPeptone passage 0 replicate 2,SAAC2-noAA-wPeptone,BRYU005
BRYU005_Pos_SA0004_QE2_HILIC_038,SA0004,BRYU005_SA0004,None,CleanMedia,Clean media 4 MegaMedia-wSugarMix passage 0 replicate 1,MegaMedia-wSugarMix,BRYU005
BRYU005_Neg_SA0004_QE2_HILIC_039,SA0004,BRYU005_SA0004,None,CleanMedia,Clean media 4 MegaMedia-wSugarMix passage 0 replicate 1,MegaMedia-wSugarMix,BRYU005
BRYU005_Pos_SA0061_QE2_HILIC_040,SA0061,BRYU005_SA0061,None,CleanMedia,Clean media 13 SAAC2-wSugarMix-wSCFAC passage 0 replicate 3,SAAC2-wSugarMix-wSCFAC,BRYU005
BRYU005_Neg_SA0061_QE2_HILIC_041,SA0061,BRYU005_SA0061,None,CleanMedia,Clean media 13 SAAC2-wSugarMix-wSCFAC passage 0 replicate 3,SAAC2-wSugarMix-wSCFAC,BRYU005
BRYU005_Pos_SA0068_QE2_HILIC_042,SA0068,BRYU005_SA0068,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Neg_SA0068_QE2_HILIC_043,SA0068,BRYU005_SA0068,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Pos_SA0007_QE2_HILIC_044,SA0007,BRYU005_SA0007,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 1,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Neg_SA0007_QE2_HILIC_045,SA0007,BRYU005_SA0007,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 1,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Pos_SA0006_QE2_HILIC_046,SA0006,BRYU005_SA0006,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 1,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Neg_SA0006_QE2_HILIC_047,SA0006,BRYU005_SA0006,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 1,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Pos_SA0037_QE2_HILIC_048,SA0037,BRYU005_SA0037,None,CleanMedia,Clean media 13 SAAC2-wSugarMix-wSCFAC passage 0 replicate 2,SAAC2-wSugarMix-wSCFAC,BRYU005
BRYU005_Neg_SA0037_QE2_HILIC_049,SA0037,BRYU005_SA0037,None,CleanMedia,Clean media 13 SAAC2-wSugarMix-wSCFAC passage 0 replicate 2,SAAC2-wSugarMix-wSCFAC,BRYU005
BRYU005_Pos_SA0044_QE2_HILIC_050,SA0044,BRYU005_SA0044,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Neg_SA0044_QE2_HILIC_051,SA0044,BRYU005_SA0044,None,CleanMedia,Clean media 20 SAAC2-wSugarMix-wMucin-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-wMucin-wBileAcids,BRYU005
BRYU005_Pos_SA0026_QE2_HILIC_052,SA0026,BRYU005_SA0026,None,CleanMedia,Clean media 2 BHI-wVk-wHemin-wMucin passage 0 replicate 2,BHI-wVk-wHemin-wMucin,BRYU005
BRYU005_Neg_SA0026_QE2_HILIC_053,SA0026,BRYU005_SA0026,None,CleanMedia,Clean media 2 BHI-wVk-wHemin-wMucin passage 0 replicate 2,BHI-wVk-wHemin-wMucin,BRYU005
BRYU005_Pos_SA0021_QE2_HILIC_058,SA0021,BRYU005_SA0021,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Neg_SA0021_QE2_HILIC_059,SA0021,BRYU005_SA0021,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Pos_SA0046_QE2_HILIC_060,SA0046,BRYU005_SA0046,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0046_QE2_HILIC_061,SA0046,BRYU005_SA0046,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0036_QE2_HILIC_062,SA0036,BRYU005_SA0036,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 2,SAAC2-wSugarMix,BRYU005
BRYU005_Neg_SA0036_QE2_HILIC_063,SA0036,BRYU005_SA0036,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 2,SAAC2-wSugarMix,BRYU005
BRYU005_Pos_SA0059_QE2_HILIC_064,SA0059,BRYU005_SA0059,None,CleanMedia,Clean media 11 SAAC2-wDisaccharides-wPolysaccharides passage 0 replicate 3,SAAC2-wDisaccharides-wPolysaccharides,BRYU005
BRYU005_Neg_SA0059_QE2_HILIC_065,SA0059,BRYU005_SA0059,None,CleanMedia,Clean media 11 SAAC2-wDisaccharides-wPolysaccharides passage 0 replicate 3,SAAC2-wDisaccharides-wPolysaccharides,BRYU005
BRYU005_Pos_SA0058_QE2_HILIC_066,SA0058,BRYU005_SA0058,None,CleanMedia,Clean media 10 SAAC2-wPolysaccharides passage 0 replicate 3,SAAC2-wPolysaccharides,BRYU005
BRYU005_Neg_SA0058_QE2_HILIC_067,SA0058,BRYU005_SA0058,None,CleanMedia,Clean media 10 SAAC2-wPolysaccharides passage 0 replicate 3,SAAC2-wPolysaccharides,BRYU005
BRYU005_Pos_SA0035_QE2_HILIC_068,SA0035,BRYU005_SA0035,None,CleanMedia,Clean media 11 SAAC2-wDisaccharides-wPolysaccharides passage 0 replicate 2,SAAC2-wDisaccharides-wPolysaccharides,BRYU005
BRYU005_Neg_SA0035_QE2_HILIC_069,SA0035,BRYU005_SA0035,None,CleanMedia,Clean media 11 SAAC2-wDisaccharides-wPolysaccharides passage 0 replicate 2,SAAC2-wDisaccharides-wPolysaccharides,BRYU005
BRYU005_Pos_SA0033_QE2_HILIC_070,SA0033,BRYU005_SA0033,None,CleanMedia,Clean media 9 SAAC2-noVitaminMix-noVk-wGlucose passage 0 replicate 2,SAAC2-noVitaminMix-noVk-wGlucose,BRYU005
BRYU005_Neg_SA0033_QE2_HILIC_071,SA0033,BRYU005_SA0033,None,CleanMedia,Clean media 9 SAAC2-noVitaminMix-noVk-wGlucose passage 0 replicate 2,SAAC2-noVitaminMix-noVk-wGlucose,BRYU005
BRYU005_Pos_SA0060_QE2_HILIC_072,SA0060,BRYU005_SA0060,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 3,SAAC2-wSugarMix,BRYU005
BRYU005_Neg_SA0060_QE2_HILIC_073,SA0060,BRYU005_SA0060,None,CleanMedia,Clean media 12 SAAC2-wSugarMix passage 0 replicate 3,SAAC2-wSugarMix,BRYU005
BRYU005_Pos_SA0039_QE2_HILIC_074,SA0039,BRYU005_SA0039,None,CleanMedia,Clean media 15 SAAC2-wSugarMix-noAAA passage 0 replicate 2,SAAC2-wSugarMix-noAAA,BRYU005
BRYU005_Neg_SA0039_QE2_HILIC_075,SA0039,BRYU005_SA0039,None,CleanMedia,Clean media 15 SAAC2-wSugarMix-noAAA passage 0 replicate 2,SAAC2-wSugarMix-noAAA,BRYU005
BRYU005_Pos_SA0045_QE2_HILIC_076,SA0045,BRYU005_SA0045,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Neg_SA0045_QE2_HILIC_077,SA0045,BRYU005_SA0045,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Pos_SA0031_QE2_HILIC_082,SA0031,BRYU005_SA0031,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 2,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Neg_SA0031_QE2_HILIC_083,SA0031,BRYU005_SA0031,None,CleanMedia,Clean media 7 SAAC2-wVitaminMix-wVk-wGlucose passage 0 replicate 2,SAAC2-wVitaminMix-wVk-wGlucose,BRYU005
BRYU005_Pos_SA0043_QE2_HILIC_084,SA0043,BRYU005_SA0043,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Neg_SA0043_QE2_HILIC_085,SA0043,BRYU005_SA0043,None,CleanMedia,Clean media 19 SAAC2-wSugarMix-wBileAcids passage 0 replicate 2,SAAC2-wSugarMix-wBileAcids,BRYU005
BRYU005_Pos_SA0008_QE2_HILIC_086,SA0008,BRYU005_SA0008,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 1,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0008_QE2_HILIC_087,SA0008,BRYU005_SA0008,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 1,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0022_QE2_HILIC_088,SA0022,BRYU005_SA0022,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Neg_SA0022_QE2_HILIC_089,SA0022,BRYU005_SA0022,None,CleanMedia,Clean media 22 SAAC2-wSugarMix-noAAA-wBileAcids passage 0 replicate 1,SAAC2-wSugarMix-noAAA-wBileAcids,BRYU005
BRYU005_Pos_SA0051_QE2_HILIC_090,SA0051,BRYU005_SA0051,None,CleanMedia,Clean media 3 YCFAC passage 0 replicate 3,YCFAC,BRYU005
BRYU005_Neg_SA0051_QE2_HILIC_091,SA0051,BRYU005_SA0051,None,CleanMedia,Clean media 3 YCFAC passage 0 replicate 3,YCFAC,BRYU005
BRYU005_Pos_SA0025_QE2_HILIC_092,SA0025,BRYU005_SA0025,None,CleanMedia,Clean media 1 BHI-wVk-wHemin passage 0 replicate 2,BHI-wVk-wHemin,BRYU005
BRYU005_Neg_SA0025_QE2_HILIC_093,SA0025,BRYU005_SA0025,None,CleanMedia,Clean media 1 BHI-wVk-wHemin passage 0 replicate 2,BHI-wVk-wHemin,BRYU005
BRYU005_Pos_SA0014_QE2_HILIC_094,SA0014,BRYU005_SA0014,None,CleanMedia,Clean media 14 SAAC2-wSugarMix-noAA passage 0 replicate 1,SAAC2-wSugarMix-noAA,BRYU005
BRYU005_Neg_SA0014_QE2_HILIC_095,SA0014,BRYU005_SA0014,None,CleanMedia,Clean media 14 SAAC2-wSugarMix-noAA passage 0 replicate 1,SAAC2-wSugarMix-noAA,BRYU005
BRYU005_Pos_SA0069_QE2_HILIC_096,SA0069,BRYU005_SA0069,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Neg_SA0069_QE2_HILIC_097,SA0069,BRYU005_SA0069,None,CleanMedia,Clean media 21 SAAC2-wSugarMix-noAA-wBileAcids passage 0 replicate 3,SAAC2-wSugarMix-noAA-wBileAcids,BRYU005
BRYU005_Pos_SA0032_QE2_HILIC_098,SA0032,BRYU005_SA0032,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 2,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0032_QE2_HILIC_099,SA0032,BRYU005_SA0032,None,CleanMedia,Clean media 8 SAAC2-noVitaminMix-noVk-noGlucose passage 0 replicate 2,SAAC2-noVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0005_QE2_HILIC_100,SA0005,BRYU005_SA0005,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 1,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Neg_SA0005_QE2_HILIC_101,SA0005,BRYU005_SA0005,None,CleanMedia,Clean media 5 SAAC2-wVitaminMix-noVk-noGlucose passage 0 replicate 1,SAAC2-wVitaminMix-noVk-noGlucose,BRYU005
BRYU005_Pos_SA0030_QE2_HILIC_106,SA0030,BRYU005_SA0030,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 2,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Neg_SA0030_QE2_HILIC_107,SA0030,BRYU005_SA0030,None,CleanMedia,Clean media 6 SAAC2-wVitaminMix-wVk-noGlucose passage 0 replicate 2,SAAC2-wVitaminMix-wVk-noGlucose,BRYU005
BRYU005_Pos_SA0010_QE2_HILIC_108,SA0010,BRYU005_SA0010,None,CleanMedia,Clean media 10 SAAC2-wPolysaccharides passage 0 replicate 1,SAAC2-wPolysaccharides,BRYU005
BRYU005_Neg_SA0010_QE2_HILIC_109,SA0010,BRYU005_SA0010,None,CleanMedia,Clean media 10 SAAC2-wPolysaccharides passage 0 replicate 1,SAAC2-wPolysaccharides,BRYU005
BRYU005_Pos_SA0016_QE2_HILIC_110,SA0016,BRYU005_SA0016,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 1,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Neg_SA0016_QE2_HILIC_111,SA0016,BRYU005_SA0016,None,CleanMedia,Clean media 16 SAAC2-wSugarMix-onlyAAA passage 0 replicate 1,SAAC2-wSugarMix-onlyAAA,BRYU005
BRYU005_Pos_SA0057_QE2_HILIC_112,SA0057,BRYU005_SA0057,None,CleanMedia,Clean media 9 SAAC2-noVitaminMix-noVk-wGlucose passage 0 replicate 3,SAAC2-noVitaminMix-noVk-wGlucose,BRYU005
