InChIKey,BRYU005: Height
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,100000
AKEUNCKRJATALU-UHFFFAOYSA-N,110000
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,120000
AQTYXAPIHMXAAV-UHFFFAOYSA-N,130000
AYFVYJQAPQTCCC-UHFFFAOYSA-N,140000
BTJIUGUIPKRLHP-UHFFFAOYSA-N,150000
BXFFHSIDQOFMLE-UHFFFAOYSA-N,160000
BYXCFUMGEBZDDI-UHFFFAOYSA-N,170000
CBQJSKKFNMDLON-UHFFFAOYSA-N,180000
CCVYRRGZDBSHFU-UHFFFAOYSA-N,190000
CGFRVKXGZRODPA-UHFFFAOYSA-N,200000
COLNVLDHVKWLRT-UHFFFAOYSA-N,210000
CZMRCDWAGMRECN-UGDNZRGBSA-N,220000
CZWCKYRVOZZJNM-USOAJAOKSA-N,230000
DCICDMMXFIELDF-UHFFFAOYSA-N,240000
DCXYFEDJOCDNAF-REOHCLBHSA-N,250000
DDRJAANPRJIHGJ-UHFFFAOYSA-N,260000
DRTQHJPVMGBUCF-XVFCMESISA-N,270000
DTERQYGMUDWYAZ-ZETCQYMHSA-N,280000
DUUGKQCEGZLZNO-UHFFFAOYSA-N,290000
FDGQSTZJBFJUBT-UHFFFAOYSA-N,300000
FJKROLUGYXJWQN-UHFFFAOYSA-N,310000
GHOKWGTUZJEAQD-UHFFFAOYSA-N,320000
HCZHHEIFKROPDY-UHFFFAOYSA-N,330000
HEBKCHPVOIAQTA-QWWZWVQMSA-N,340000
HNDVDQJCIGZPNO-YFKPBYRVSA-N,350000
HNEGQIOMVPPMNR-IHWYPQMZSA-N,360000
IGMNYECMUMZDDF-UHFFFAOYSA-N,370000
ILGMGHZPXRDCCS-UHFFFAOYSA-N,380000
JDHILDINMRGULE-UHFFFAOYSA-N,390000
JFCQEDHGNNZCLN-UHFFFAOYSA-N,400000
JFLIEFSWGNOPJJ-JTQLQIEISA-N,410000
JVGVDSSUAVXRDY-UHFFFAOYSA-N,420000
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,430000
KBOJOGQFRVVWBH-ZETCQYMHSA-N,440000
KDYFGRWQOYBRFD-UHFFFAOYSA-N,450000
KSPQDMRTZZYQLM-UHFFFAOYSA-N,460000
KTHDTJVBEPMMGL-UHFFFAOYSA-N,470000
LOIYMIARKYCTBW-OWOJBTEDSA-N,480000
LXVSANCQXSSLPA-UHFFFAOYSA-N,490000
MTCFGRXMJLQNBG-UHFFFAOYSA-N,500000
MYYIAHXIVFADCU-QMMMGPOBSA-N,510000
NBIIXXVUZAFLBC-UHFFFAOYSA-N,520000
NIDVTARKFBZMOT-PEBGCTIMSA-N,530000
NOFNCLGCUJJPKU-UHFFFAOYSA-N,540000
NWGZOALPWZDXNG-UHFFFAOYSA-N,550000
ONPXCLZMBSJLSP-CSMHCCOUSA-N,560000
PMOWTIHVNWZYFI-AATRIKPKSA-N,570000
POJWUDADGALRAB-UHFFFAOYSA-N,580000
PTJWIQPHWPFNBW-GBNDHIKLSA-N,590000
PXQPEWDEAKTCGB-UHFFFAOYSA-N,600000
PYUSHNKNPOHWEZ-YFKPBYRVSA-N,610000
QFDRTQONISXGJA-UHFFFAOYSA-N,620000
QIVBCDIJIAJPQS-UHFFFAOYSA-N,630000
QVWAEZJXDYOKEH-UHFFFAOYSA-N,640000
RFCQJGFZUQFYRF-UHFFFAOYSA-N,650000
RSPURTUNRHNVGF-IOSLPCCCSA-N,660000
RWSXRVCMGQZWBV-UHFFFAOYSA-N,670000
SQVRNKJHWKZAKO-LUWBGTNYSA-N,680000
SXUXMRMBWZCMEN-ZOQUXTDFSA-N,690000
TYFQFVWCELRYAO-UHFFFAOYSA-N,700000
UTAIYTHAJQNQDW-KQYNXXCUSA-N,710000
UZTFMUBKZQVKLK-UHFFFAOYSA-N,720000
VBUYCZFBVCCYFD-NUNKFHFFSA-N,730000
VVHOUVWJCQOYGG-UHFFFAOYSA-N,740000
VZCYOOQTPOCHFL-UPHRSURJSA-N,750000
WGNAKZGUSRVWRH-UHFFFAOYSA-N,760000
WHUUTDBJXJRKMK-UHFFFAOYSA-N,770000
WLJVNTCWHIRURA-UHFFFAOYSA-N,780000
WNLRTRBMVRJNCN-UHFFFAOYSA-N,790000
WRUSVQOKJIDBLP-HWKANZROSA-N,800000
WXNXCEHXYPACJF-UHFFFAOYSA-N,810000
WXTMDXOMEHJXQO-UHFFFAOYSA-N,820000
XGILAAMKEQUXLS-UHFFFAOYSA-N,830000
XLBVNMSMFQMKEY-BYPYZUCNSA-N,840000
XOAAWQZATWQOTB-UHFFFAOYSA-N,850000
XUYPXLNMDZIRQH-UHFFFAOYSA-N,860000
YGSDEFSMJLZEOE-UHFFFAOYSA-N,870000
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,880000
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,890000
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,900000
