Title,BRYU005_Pos_SA0002_QE2_HILIC_012: Precursor m/z Info,BRYU005_Pos_SA0019_QE2_HILIC_014: Precursor m/z Info,BRYU005_Pos_SA0067_QE2_HILIC_016: Precursor m/z Info
1_Methionine_d8,158.1084: 0.0001,158.1084: 0.0001,158.1084: 0.0002
1_1_Methylnicotinamide_d3,141.0928: 0.0047,141.0928: 0.0048,141.0928: 0.0048
1_Creatinine_d3,117.0849: 0.0002,117.0848: 0.0003,117.0847: 0.0003
1_Carnitine_d3,165.131: 0.0003,165.131: 0.0003,165.131: 0.0003
1_Acetylcarnitine_d3,207.1416: 0.0002,207.1413: 0.0006,207.1413: 0.0005
1_TMAO_d9,85.1321: 0.0001,85.1321: 0.0001,85.132: 0.0002
1_Choline_d9,114.1668: 0.0045,114.1667: 0.0046,114.1666: 0.0047
1_CUDA,341.2798: 0.0001,341.2797: 0.0002,341.2797: 0.0001
1_Glutamine_d5,152.1076: 0.0002,152.1076: 0.0002,152.1075: 0.0003
1_Glutamic Acid_d3,151.0791: 0.0002,151.079: 0.0002,151.079: 0.0002
1_Arginine_d7,182.1629: 0.0,182.1628: 0.0001,182.1628: 0.0001
1_Alanine_d3,93.0737: 0.0001,93.0737: 0.0001,93.0737: 0.0001
1_Valine d8,126.1363: 0.0002,126.1363: 0.0001,126.1363: 0.0001
1_Tryptophan d5,210.1284: 0.0001,210.1281: 0.0004,210.1283: 0.0002
1_Serine d3,109.0686: 0.0001,,109.0686: 0.0001
1_Lysine d8,155.1628: 0.0003,155.1629: 0.0001,155.163: 0.0
1_Phenylalanine d8,174.1363: 0.0002,174.1363: 0.0002,174.1363: 0.0001
1_Hippuric acid d5,185.092: 0.0049,,
