InChIKey,BRYU005: Height
AGPKZVBTJJNPAG-UHFFFAOYSA-N,100000
AUNGANRZJHBGPY-SCRDCRAPSA-N,110000
AYFVYJQAPQTCCC-UHFFFAOYSA-N,120000
BPMFZUMJYQTVII-UHFFFAOYSA-N,130000
COLNVLDHVKWLRT-UHFFFAOYSA-N,140000
CQOVPNPJLQNMDC-ZETCQYMHSA-N,150000
CVSVTCORWBXHQV-UHFFFAOYSA-N,160000
CWLQUGTUXBXTLF-UHFFFAOYSA-N,170000
CYZKJBZEIFWZSR-LURJTMIESA-N,180000
CZMRCDWAGMRECN-UGDNZRGBSA-N,190000
DCXYFEDJOCDNAF-REOHCLBHSA-N,200000
DDRJAANPRJIHGJ-UHFFFAOYSA-N,210000
DFPAKSUCGFBDDF-UHFFFAOYSA-N,220000
DTERQYGMUDWYAZ-ZETCQYMHSA-N,230000
DZGWFCGJZKJUFP-UHFFFAOYSA-N,240000
DZTHIGRZJZPRDV-GFCCVEGCSA-N,250000
FDGQSTZJBFJUBT-UHFFFAOYSA-N,260000
FEMXZDUTFRTWPE-UHFFFAOYSA-N,270000
FONIWJIDLJEJTL-UHFFFAOYSA-N,280000
GFFGJBXGBJISGV-UHFFFAOYSA-N,290000
GFYLSDSUCHVORB-IOSLPCCCSA-N,300000
GHOKWGTUZJEAQD-UHFFFAOYSA-N,310000
GUBGYTABKSRVRQ-QUYVBRFLSA-N,320000
HCZHHEIFKROPDY-UHFFFAOYSA-N,330000
HJSLFCCWAKVHIW-UHFFFAOYSA-N,340000
HNDVDQJCIGZPNO-YFKPBYRVSA-N,350000
HNXQXTQTPAJEJL-UHFFFAOYSA-N,360000
HZAXFHJVJLSVMW-UHFFFAOYSA-N,370000
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,380000
JDHILDINMRGULE-UHFFFAOYSA-N,390000
JFLIEFSWGNOPJJ-JTQLQIEISA-N,400000
JSJWCHRYRHKBBW-UHFFFAOYSA-N,410000
JZRWCGZRTZMZEH-UHFFFAOYSA-N,420000
KBOJOGQFRVVWBH-ZETCQYMHSA-N,430000
KDXKERNSBIXSRK-YFKPBYRVSA-N,440000
KSPIYJQBLVDRRI-WDSKDSINSA-N,450000
KSPQDMRTZZYQLM-UHFFFAOYSA-N,460000
KWIUHFFTVRNATP-UHFFFAOYSA-N,470000
LDHMAVIPBRSVRG-UHFFFAOYSA-O,480000
LEVWYRKDKASIDU-IMJSIDKUSA-N,490000
LMIQERWZRIFWNZ-UHFFFAOYSA-N,500000
LNQVTSROQXJCDD-KQYNXXCUSA-N,510000
LOIYMIARKYCTBW-OWOJBTEDSA-N,520000
MEFKEPWMEQBLKI-AIRLBKTGSA-N,530000
MTCFGRXMJLQNBG-UHFFFAOYSA-N,540000
MXNRLFUSFKVQSK-UHFFFAOYSA-N,550000
MYYIAHXIVFADCU-QMMMGPOBSA-N,560000
NIDVTARKFBZMOT-PEBGCTIMSA-N,570000
NOFNCLGCUJJPKU-UHFFFAOYSA-N,580000
NTYJJOPFIAHURM-UHFFFAOYSA-N,590000
NWGZOALPWZDXNG-UHFFFAOYSA-N,600000
ODKSFYDXXFIFQN-BYPYZUCNSA-N,610000
OEYIOHPDSNJKLS-UHFFFAOYSA-N,620000
OIRDTQYFTABQOQ-KQYNXXCUSA-N,630000
OIVLITBTBDPEFK-UHFFFAOYSA-N,640000
ONPXCLZMBSJLSP-CSMHCCOUSA-N,650000
OPVPGKGADVGKTG-UHFFFAOYSA-N,660000
PFNFFQXMRSDOHW-UHFFFAOYSA-N,670000
PFWLFWPASULGAN-UHFFFAOYSA-N,680000
PFWQSHXPNKRLIV-UHFFFAOYSA-N,690000
PHIQHXFUZVPYII-UHFFFAOYSA-N,700000
PMZDQRJGMBOQBF-UHFFFAOYSA-N,710000
PQNASZJZHFPQLE-UHFFFAOYSA-N,720000
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,730000
PWKSKIMOESPYIA-BYPYZUCNSA-N,740000
QFDRTQONISXGJA-UHFFFAOYSA-N,750000
QIAFMBKCNZACKA-UHFFFAOYSA-N,760000
QIVBCDIJIAJPQS-UHFFFAOYSA-N,770000
RDHQFKQIGNGIED-UHFFFAOYSA-N,780000
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,790000
ROHFNLRQFUQHCH-UHFFFAOYSA-N,800000
RSPURTUNRHNVGF-IOSLPCCCSA-N,810000
RWSXRVCMGQZWBV-UHFFFAOYSA-N,820000
RYYVLZVUVIJVGH-UHFFFAOYSA-N,830000
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,840000
SLEHROROQDYRAW-KQYNXXCUSA-N,850000
SNCKGJWJABDZHI-ZKWXMUAHSA-N,860000
SUHOQUVVVLNYQR-MRVPVSSYSA-N,870000
SZJNCZMRZAUNQT-IUCAKERBSA-N,880000
TUHVEAJXIMEOSA-UHFFFAOYSA-N,890000
UFAHZIUFPNSHSL-MRVPVSSYSA-N,900000
UTAIYTHAJQNQDW-KQYNXXCUSA-N,910000
UYPYRKYUKCHHIB-UHFFFAOYSA-N,920000
UYTPUPDQBNUYGX-UHFFFAOYSA-N,930000
VEYYWZRYIYDQJM-ZETCQYMHSA-N,940000
VQAYFKKCNSOZKM-IOSLPCCCSA-N,950000
VVHOUVWJCQOYGG-UHFFFAOYSA-N,960000
WHUUTDBJXJRKMK-UHFFFAOYSA-N,970000
WUUGFSXJNOTRMR-IOSLPCCCSA-N,980000
WWNNZCOKKKDOPX-UHFFFAOYSA-N,990000
XGEGHDBEHXKFPX-UHFFFAOYSA-N,1000000
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,1010000
XJODGRWDFZVTKW-LURJTMIESA-N,1020000
XJWPISBUKWZALE-UHFFFAOYSA-N,1030000
XOAAWQZATWQOTB-UHFFFAOYSA-N,1040000
XSQUKJJJFZCRTK-UHFFFAOYSA-N,1050000
XXEWFEBMSGLYBY-ZETCQYMHSA-N,1060000
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1070000
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1080000
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,1090000
